,,,, State Graduation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Asian,,,Black,,,Hispanic,,,Multiracial,,,Native Hawaiian or Other Pacific Islander,,,White,,,Paid Meals,,,Free/Reduced Price Meals,,,General Education,,,Special Education,,,Non-English Language Learner,,,English Language Learner,,,Female,,,Male,,,Total,,,
IDOE CORP ID,CORPORATION NAME,IDOE SCHOOL ID,SCHOOL NAME,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Capped Graduation Rate,Graduation Rate was adjusted due to Alternate Diploma Cap (*)  and/or Waiver Cap (~)
-999,Independent Non-Public Schools,B015,Bethany Christian School,,,,***,***,***,11 ,11 ,100.00%,***,***,***,,,,23,23,100.00%,30,30,100.00%,***,***,***,34,34,100.00%,***,***,***,^^,^^,100.00%,***,***,***,13,13,100.00%,23,23,100.00%,36,36,100.00%,
-999,Independent Non-Public Schools,B045,Christian Academy of Indiana,,,,,,,***,***,***,***,***,***,,,,42,42,100.00%,39,39,100.00%,***,***,***,44,44,100.00%,,,,44,44,100.00%,,,,18,18,100.00%,26,26,100.00%,44,44,77.27%,~
-999,Independent Non-Public Schools,B118,Kinwell Academy Inc,,,,***,***,***,***,***,***,,,,,,,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,10,6,50.00%,~
-999,Independent Non-Public Schools,B136,The King's Academy,,,,,,,***,***,***,***,***,***,,,,14,14,100.00%,13,13,100.00%,***,***,***,14,14,100.00%,***,***,***,16,16,100.00%,,,,^^,^^,100.00%,***,***,***,16,16,100.00%,
-999,Independent Non-Public Schools,B160,Eman Schools,***,***,***,***,***,***,***,***,***,,,,,,,***,***,***,10,0,0.00%,***,***,***,13,0,0.00%,,,,13,0,0.00%,,,,^^,^^,10.00%,***,***,***,16,3,18.75%,
-999,Independent Non-Public Schools,B161,Fishers Christian Academy,***,***,***,,,,,,,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B167,Paddock View Residential Center,,,,,,,,,,,,,,,,***,***,***,,,,,,,,,,,,,,,,,,,,,,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B190,Indiana Academy,***,***,***,***,***,***,13 ,13 ,100.00%,***,***,***,,,,***,***,***,***,***,***,21,21,100.00%,26,26,100.00%,,,,20,20,100.00%,***,***,***,12,12,100.00%,14,14,100.00%,26,26,23.08%,~
-999,Independent Non-Public Schools,B205,Union Bible College & Academy,,,,,,,***,***,***,,,,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B233,Transitions Academy,,,,***,***,***,***,***,***,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,,,,***,***,***,***,***,***,,,,10,0,0.00%,10,0,0.00%,
-999,Independent Non-Public Schools,B248,Legacy Christian School,,,,***,***,***,***,***,***,,,,,,,***,***,***,***,***,***,***,***,***,12,12,100.00%,,,,12,12,100.00%,,,,^^,^^,100.00%,***,***,***,12,12,100.00%,
-999,Independent Non-Public Schools,B290,Bethesda Christian School,,,,***,***,***,***,***,***,***,***,***,,,,26,26,100.00%,26,26,100.00%,***,***,***,28,28,100.00%,***,***,***,30,30,100.00%,,,,14,14,100.00%,16,16,100.00%,30,30,100.00%,
-999,Independent Non-Public Schools,B299,Legacy Learning Center,,,,***,***,***,,,,,,,,,,***,***,***,,,,***,***,***,***,***,***,,,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,
-999,Independent Non-Public Schools,B455,Sandy Creek Christian Academy ,,,,,,,***,***,***,***,***,***,,,,10,10,100.00%,13,13,100.00%,,,,13,13,100.00%,,,,^^,^^,100.00%,***,***,***,***,***,***,***,***,***,13,13,100.00%,
-999,Independent Non-Public Schools,B469,DeMotte Christian High School,,,,,,,,,,,,,,,,26,24,92.31%,23,23,100.00%,,,,23,23,100.00%,,,,23,23,100.00%,,,,12,10,83.33%,14,14,100.00%,26,24,92.31%,
