State,CZ_ID,County_FIPS,Tract_FIPS
IL,25000,17001,17001000100
IL,25000,17001,17001000201
IL,25000,17001,17001000202
IL,25000,17001,17001000400
IL,25000,17001,17001000500
IL,25000,17001,17001000600
IL,25000,17001,17001000700
IL,25000,17001,17001000800
IL,25000,17001,17001000900
IL,25000,17001,17001001001
IL,25000,17001,17001001002
IL,25000,17001,17001001100
IL,25000,17001,17001010100
IL,25000,17001,17001010200
IL,25000,17001,17001010300
IL,25000,17001,17001010400
IL,25000,17001,17001010500
IL,25000,17001,17001010600
IL,25601,17003,17003957600
IL,25601,17003,17003957700
IL,25601,17003,17003957800
IL,25601,17003,17003957900
IL,24900,17005,17005951200
IL,24900,17005,17005951300
IL,24900,17005,17005951400
IL,24900,17005,17005951500
IL,24400,17007,17007010100
IL,24400,17007,17007010200
IL,24400,17007,17007010300
IL,24400,17007,17007010400
IL,24400,17007,17007010500
IL,24400,17007,17007010601
IL,24400,17007,17007010602
IL,24801,17009,17009970400
IL,24801,17009,17009970500
IL,23900,17011,17011964700
IL,23900,17011,17011964800
IL,23900,17011,17011964900
IL,23900,17011,17011965000
IL,23900,17011,17011965100
IL,23900,17011,17011965200
IL,23900,17011,17011965300
IL,23900,17011,17011965400
IL,23900,17011,17011965500
IL,23900,17011,17011965600
IL,24900,17013,17013951200
IL,24900,17013,17013951300
IL,24400,17015,17015960100
IL,24400,17015,17015960200
IL,24400,17015,17015960300
IL,24400,17015,17015960400
IL,24400,17015,17015960500
IL,24400,17015,17015960600
IL,24801,17017,17017960100
IL,24801,17017,17017960200
IL,24801,17017,17017960300
IL,24801,17017,17017960400
IL,24801,17017,17017960500
IL,23500,17019,17019000200
IL,23500,17019,17019000301
IL,23500,17019,17019000302
IL,23500,17019,17019000401
IL,23500,17019,17019000402
IL,23500,17019,17019000500
IL,23500,17019,17019000700
IL,23500,17019,17019000800
IL,23500,17019,17019000901
IL,23500,17019,17019000902
IL,23500,17019,17019001000
IL,23500,17019,17019001100
IL,23500,17019,17019001201
IL,23500,17019,17019001203
IL,23500,17019,17019001204
IL,23500,17019,17019001205
IL,23500,17019,17019001206
IL,23500,17019,17019001301
IL,23500,17019,17019001302
IL,23500,17019,17019001400
IL,23500,17019,17019005300
IL,23500,17019,17019005401
IL,23500,17019,17019005402
IL,23500,17019,17019005500
IL,23500,17019,17019005600
IL,23500,17019,17019005701
IL,23500,17019,17019005702
IL,23500,17019,17019005800
IL,23500,17019,17019005900
IL,23500,17019,17019006000
IL,23500,17019,17019010100
IL,23500,17019,17019010204
IL,23500,17019,17019010300
IL,23500,17019,17019010400
IL,23500,17019,17019010500
IL,23500,17019,17019010601
IL,23500,17019,17019010603
IL,23500,17019,17019010604
IL,23500,17019,17019010700
IL,23500,17019,17019010800
IL,23500,17019,17019010900
IL,23500,17019,17019011000
IL,23500,17019,17019011100
IL,24802,17021,17021958100
IL,24802,17021,17021958200
IL,24802,17021,17021958300
IL,24802,17021,17021958400
IL,24802,17021,17021958500
IL,24802,17021,17021958600
IL,24802,17021,17021958700
IL,24802,17021,17021958800
IL,24802,17021,17021958900
IL,24802,17021,17021959000
IL,23301,17023,17023060100
IL,23301,17023,17023060200
IL,23301,17023,17023060300
IL,23301,17023,17023060400
IL,23302,17025,17025971900
IL,23302,17025,17025972000
IL,23302,17025,17025972100
IL,23302,17025,17025972200
IL,25500,17027,17027900100
IL,25500,17027,17027900200
IL,25500,17027,17027900300
IL,25500,17027,17027900401
IL,25500,17027,17027900402
IL,25500,17027,17027900500
IL,25500,17027,17027900601
IL,25500,17027,17027900602
IL,23301,17029,17029000100
IL,23301,17029,17029000200
IL,23301,17029,17029000300
IL,23301,17029,17029000400
IL,23301,17029,17029000500
IL,23301,17029,17029000600
IL,23301,17029,17029000700
IL,23301,17029,17029000800
IL,23301,17029,17029000900
IL,23301,17029,17029001000
IL,23301,17029,17029001100
IL,23301,17029,17029001200
IL,24300,17031,17031010100
IL,24300,17031,17031010201
IL,24300,17031,17031010202
IL,24300,17031,17031010300
IL,24300,17031,17031010400
IL,24300,17031,17031010501
IL,24300,17031,17031010502
IL,24300,17031,17031010503
IL,24300,17031,17031010600
IL,24300,17031,17031010701
IL,24300,17031,17031010702
IL,24300,17031,17031020100
IL,24300,17031,17031020200
IL,24300,17031,17031020301
IL,24300,17031,17031020302
IL,24300,17031,17031020400
IL,24300,17031,17031020500
IL,24300,17031,17031020601
IL,24300,17031,17031020602
IL,24300,17031,17031020701
IL,24300,17031,17031020702
IL,24300,17031,17031020801
IL,24300,17031,17031020802
IL,24300,17031,17031020901
IL,24300,17031,17031020902
IL,24300,17031,17031030101
IL,24300,17031,17031030102
IL,24300,17031,17031030103
IL,24300,17031,17031030104
IL,24300,17031,17031030200
IL,24300,17031,17031030300
IL,24300,17031,17031030400
IL,24300,17031,17031030500
IL,24300,17031,17031030601
IL,24300,17031,17031030603
IL,24300,17031,17031030604
IL,24300,17031,17031030701
IL,24300,17031,17031030702
IL,24300,17031,17031030703
IL,24300,17031,17031030706
IL,24300,17031,17031030800
IL,24300,17031,17031030900
IL,24300,17031,17031031000
IL,24300,17031,17031031100
IL,24300,17031,17031031200
IL,24300,17031,17031031300
IL,24300,17031,17031031400
IL,24300,17031,17031031501
IL,24300,17031,17031031502
IL,24300,17031,17031031700
IL,24300,17031,17031031800
IL,24300,17031,17031031900
IL,24300,17031,17031032100
IL,24300,17031,17031040100
IL,24300,17031,17031040201
IL,24300,17031,17031040202
IL,24300,17031,17031040300
IL,24300,17031,17031040401
IL,24300,17031,17031040402
IL,24300,17031,17031040600
IL,24300,17031,17031040700
IL,24300,17031,17031040800
IL,24300,17031,17031040900
IL,24300,17031,17031050100
IL,24300,17031,17031050200
IL,24300,17031,17031050300
IL,24300,17031,17031050500
IL,24300,17031,17031050600
IL,24300,17031,17031050700
