zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
46001,STANDARD,0,Alexandria,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.25,-85.67,9630
46011,STANDARD,0,Anderson,"Country Club Heights, Ctry Clb Hgts, River Forest, Woodlawn Heights, Woodlawn Hgts",,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.13,-85.76,15360
46012,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.15,-85.62,16100
46013,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.05,-85.68,16240
46014,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,0
46015,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,306
46016,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,13160
46017,STANDARD,0,Anderson,Chesterfield,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.07,-85.61,5380
46018,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,581
46030,STANDARD,0,Arcadia,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.17,-86.02,2970
46031,STANDARD,0,Atlanta,,"Aroma, East Union, Ekin",IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,40.21,-86.02,2150
46032,STANDARD,0,Carmel,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-86.17,48170
46033,STANDARD,0,Carmel,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-86.1,39280
46034,STANDARD,0,Cicero,Westfield,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.12,-86.02,7060
46035,STANDARD,0,Colfax,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.19,-86.66,1130
46036,STANDARD,0,Elwood,,"Curtisville, Duck Creek, Leisure, Meadowood Est, Meadowood Estates, New Lancaster, Pipe Creek, Rigdon, West Elwood",IN,Madison County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,40.27,-85.83,9990
46037,STANDARD,0,Fishers,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-85.94,47340
46038,STANDARD,0,Fishers,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.95,-86.02,40720
46039,STANDARD,0,Forest,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.37,-86.31,650
46040,STANDARD,0,Fortville,Fishers,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.93,-85.84,16520
46041,STANDARD,0,Frankfort,Hillisburg,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.28,-86.51,21980
46044,STANDARD,0,Frankton,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.22,-85.77,2800
46045,PO BOX,0,Goldsmith,,,IN,Tipton County,America/Indiana/Indianapolis,765,NA,US,40.29,-86.15,118
46047,PO BOX,0,Hobbs,,,IN,Tipton County,America/Indiana/Indianapolis,765,NA,US,40.28,-85.95,16
46048,STANDARD,0,Ingalls,,,IN,Madison County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.95,-85.81,1830
46049,STANDARD,0,Kempton,,,IN,Tipton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.28,-86.23,770
46050,STANDARD,0,Kirklin,,,IN,Clinton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.19,-86.35,1600
46051,STANDARD,0,Lapel,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.06,-85.84,2750
46052,STANDARD,0,Lebanon,Ulen,,IN,Boone County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.05,-86.47,20840
46055,STANDARD,0,Mccordsville,Fishers,Woodbury,IN,Hancock County,America/Indiana/Indianapolis,"317, 463",NA,US,39.9,-85.93,15590
46056,STANDARD,0,Markleville,,Emporia,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,39.97,-85.61,2360
46057,STANDARD,0,Michigantown,,Boyleston,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.32,-86.39,970
46058,STANDARD,0,Mulberry,Frankfort,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.34,-86.66,2070
46060,STANDARD,0,Noblesville,,Strawtown,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.06,-85.92,42610
46061,PO BOX,0,Noblesville,,,IN,Hamilton County,America/Indiana/Indianapolis,317,NA,US,40.05,-86.03,500
46062,STANDARD,0,Noblesville,Westfield,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,40.05,-86.03,39390
46063,PO BOX,0,Orestes,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.27,-85.72,308
46064,STANDARD,0,Pendleton,,Huntsville,IN,Madison County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40,-85.74,14840
46065,STANDARD,0,Rossville,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.42,-86.59,3220
46067,PO BOX,0,Sedalia,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.41,-86.51,89
46068,STANDARD,0,Sharpsville,,Nevada,IN,Tipton County,America/Indiana/Indianapolis,765,NA,US,40.37,-86.08,2630
46069,STANDARD,0,Sheridan,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.13,-86.21,6800
46070,STANDARD,0,Summitville,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.33,-85.64,1980
46071,STANDARD,0,Thorntown,,,IN,Boone County,America/Indiana/Indianapolis,765,NA,US,40.12,-86.61,3210
46072,STANDARD,0,Tipton,,,IN,Tipton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.28,-86.04,8390
46074,STANDARD,0,Westfield,Carmel,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,40.04,-86.13,45320
46075,STANDARD,0,Whitestown,,,IN,Boone County,America/Indiana/Indianapolis,"317, 463",NA,US,39.99,-86.34,8110
46076,STANDARD,0,Windfall,,,IN,Tipton County,America/Indiana/Indianapolis,765,NA,US,40.36,-85.95,1460
46077,STANDARD,0,Zionsville,,,IN,Boone County,America/Indiana/Indianapolis,"317, 463",NA,US,39.95,-86.27,35150
46082,PO BOX,0,Carmel,,,IN,Hamilton County,America/Indiana/Indianapolis,317,NA,US,39.96,-86.1,492
46085,UNIQUE,0,Fishers,,Newgistics Merchandise Retrn,IN,Hamilton County,America/Indiana/Indianapolis,317,NA,US,39.96,-86.01,0
46102,PO BOX,0,Advance,,,IN,Boone County,America/Indiana/Indianapolis,765,NA,US,39.99,-86.62,402
46103,PO BOX,0,Amo,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463",NA,US,39.69,-86.61,318
46104,STANDARD,0,Arlington,,,IN,Rush County,America/Indiana/Indianapolis,765,NA,US,39.65,-85.57,860
46105,STANDARD,0,Bainbridge,,,IN,Putnam County,America/Indiana/Indianapolis,765,NA,US,39.76,-86.81,1820
46106,STANDARD,0,Bargersville,,Providence,IN,Johnson County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.51,-86.21,9480
46107,STANDARD,0,Beech Grove,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.72,-86.09,11140
46110,STANDARD,0,Boggstown,,,IN,Shelby County,America/Indiana/Indianapolis,"317, 463",NA,US,39.56,-85.91,430
46111,PO BOX,0,Brooklyn,,,IN,Morgan County,America/Indiana/Indianapolis,"317, 463",NA,US,39.54,-86.37,395
46112,STANDARD,0,Brownsburg,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463",NA,US,39.84,-86.39,41290
46113,STANDARD,0,Camby,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.63,-86.3,15440
46115,STANDARD,0,Carthage,,,IN,Rush County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.73,-85.57,1880
46117,STANDARD,0,Charlottesville,Charlottesvle,,IN,Hancock County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.81,-85.62,600
46118,STANDARD,0,Clayton,,Belleville,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463",NA,US,39.68,-86.52,4710
46120,STANDARD,0,Cloverdale,,"Belle Union, Cunot",IN,Putnam County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,39.52,-86.79,5470
46121,STANDARD,0,Coatesville,,Reno,IN,Putnam County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.68,-86.66,5100
46122,STANDARD,0,Danville,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.76,-86.51,16260
46123,STANDARD,0,Avon,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463",NA,US,39.76,-86.39,40360
46124,STANDARD,0,Edinburgh,"Atterbury, Camp Atterbry, Camp Atterbury, Camp Attrbry",,IN,Johnson County,America/Indiana/Indianapolis,"317, 463, 812, 930",NA,US,39.35,-85.96,6860
46125,PO BOX,0,Eminence,,,IN,Morgan County,America/Indiana/Indianapolis,765,NA,US,39.52,-86.64,165
46126,STANDARD,0,Fairland,,,IN,Shelby County,America/Indiana/Indianapolis,"317, 463",NA,US,39.59,-85.85,4490
46127,STANDARD,0,Falmouth,,,IN,Rush County,America/Indiana/Indianapolis,765,NA,US,39.71,-85.31,310
46128,STANDARD,0,Fillmore,,,IN,Putnam County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.67,-86.75,2050
46129,PO BOX,0,Finly,,Carrollton,IN,Hancock County,America/Indiana/Indianapolis,"317, 463",NA,US,39.79,-85.76,22
46130,STANDARD,0,Fountaintown,,,IN,Shelby County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.66,-85.78,2360
46131,STANDARD,0,Franklin,,"Amity, Bengal, Hopewell, Urmeyville",IN,Johnson County,America/Indiana/Indianapolis,"317, 463, 812, 930",NA,US,39.49,-86.05,29870
46133,STANDARD,0,Glenwood,,,IN,Fayette County,America/Indiana/Indianapolis,765,NA,US,39.62,-85.3,740
46135,STANDARD,0,Greencastle,,"Limedale, Manhattan, Morton, Mount Meridian, Mt Meridian",IN,Putnam County,America/Indiana/Indianapolis,765,NA,US,39.64,-86.84,14980
46140,STANDARD,0,Greenfield,Spring Lake,"Eden, Gem",IN,Hancock County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.79,-85.77,39410
46142,STANDARD,0,Greenwood,,,IN,Johnson County,America/Indiana/Indianapolis,"317, 463",NA,US,39.61,-86.11,30370
46143,STANDARD,0,Greenwood,,"Greenwd, Grnwood",IN,Johnson County,America/Indiana/Indianapolis,"317, 463",NA,US,39.6,-86.12,59470
46144,PO BOX,0,Gwynneville,,,IN,Shelby County,America/Indiana/Indianapolis,765,NA,US,39.66,-85.65,192
46146,STANDARD,0,Homer,,,IN,Rush County,America/Indiana/Indianapolis,765,NA,US,39.58,-85.57,190
46147,STANDARD,0,Jamestown,,,IN,Boone County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.92,-86.62,2700
46148,STANDARD,0,Knightstown,,"Ogden, Raysville",IN,Henry County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.79,-85.52,4590
46149,STANDARD,0,Lizton,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.88,-86.54,1930
46150,STANDARD,0,Manilla,,,IN,Rush County,America/Indiana/Indianapolis,765,NA,US,39.57,-85.63,700
46151,STANDARD,0,Martinsville,"Bethany, Centerton","Lake Edgewood, Paradise Lake, Waverly",IN,Morgan County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,39.42,-86.42,29190
46154,PO BOX,0,Maxwell,,,IN,Hancock County,America/Indiana/Indianapolis,"317, 463",NA,US,39.86,-85.77,160
46155,PO BOX,0,Mays,,,IN,Rush County,America/Indiana/Indianapolis,765,NA,US,39.74,-85.43,128
46156,STANDARD,0,Milroy,,,IN,Rush County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,39.49,-85.51,1370
46157,STANDARD,0,Monrovia,,,IN,Morgan County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.57,-86.5,4060
46158,STANDARD,0,Mooresville,,,IN,Morgan County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.61,-86.37,22870
46160,STANDARD,0,Morgantown,,"Bean Blossom, Fruitdale",IN,Brown County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,39.37,-86.25,6000
46161,STANDARD,0,Morristown,,Freeport,IN,Shelby County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.67,-85.69,2300
46162,STANDARD,0,Needham,,,IN,Johnson County,America/Indiana/Indianapolis,"317, 463",NA,US,39.55,-85.95,520
46163,STANDARD,0,New Palestine,,"Brookville Heights, Brookville Hts",IN,Hancock County,America/Indiana/Indianapolis,"317, 463",NA,US,39.72,-85.89,13760
46164,STANDARD,0,Nineveh,Princes Lakes,,IN,Brown County,America/Indiana/Indianapolis,"317, 463, 812, 930",NA,US,39.3,-86.12,4100
46165,STANDARD,0,North Salem,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.85,-86.64,1390
46166,STANDARD,0,Paragon,,,IN,Morgan County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,39.39,-86.56,2250
46167,STANDARD,0,Pittsboro,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.86,-86.46,7520
46168,STANDARD,0,Plainfield,Cartersburg,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463",NA,US,39.7,-86.38,34920
46170,STANDARD,0,Putnamville,,,IN,Putnam County,America/Indiana/Indianapolis,765,NA,US,39.57,-86.86,50
46171,STANDARD,0,Reelsville,,,IN,Putnam County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,39.53,-86.95,1600
46172,STANDARD,0,Roachdale,,"Barnard, Fincastle, New Maysville",IN,Putnam County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.84,-86.8,2150
46173,STANDARD,0,Rushville,,,IN,Rush County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,39.61,-85.44,9340
46175,STANDARD,0,Russellville,,,IN,Putnam County,America/Indiana/Indianapolis,765,NA,US,39.85,-86.98,520
46176,STANDARD,0,Shelbyville,,,IN,Shelby County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,39.52,-85.77,25630
46180,STANDARD,0,Stilesville,,,IN,Hendricks County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.63,-86.63,930
46181,STANDARD,0,Trafalgar,,"Peoga, Samaria, Spearsville",IN,Johnson County,America/Indiana/Indianapolis,"317, 463, 812, 930",NA,US,39.41,-86.14,5150
46182,STANDARD,0,Waldron,,,IN,Shelby County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.48,-85.66,1720
46183,PO BOX,0,West Newton,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.65,-86.28,162
46184,STANDARD,0,Whiteland,New Whiteland,,IN,Johnson County,America/Indiana/Indianapolis,"317, 463",NA,US,39.55,-86.08,12270
46186,STANDARD,0,Wilkinson,Willow Branch,Warrington,IN,Hancock County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,39.88,-85.6,1570
46197,UNIQUE,1,Plainfield,,USPS Critical Parts,IN,,America/Indiana/Indianapolis,"317, 463",NA,US,39.7,-86.4,0
46201,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.11,24760
46202,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.14,13330
46203,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.74,-86.1,31820
46204,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.16,5350
46205,STANDARD,0,Indianapolis,,Uptown,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.83,-86.13,23360
46206,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.76,-86.16,589
46207,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46208,STANDARD,0,Indianapolis,Rocky Ripple,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.82,-86.17,16660
46209,UNIQUE,0,Indianapolis,,"Bus Reply, Business Reply, Indianapolis Brm",IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,77
46210,UNIQUE,1,Indianapolis,,Amazon,IN,,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.15,0
46211,UNIQUE,1,Indianapolis,,Time Life Inc,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46213,UNIQUE,0,Indianapolis,,Ww Grainger Inc,IN,,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.15,0
46214,STANDARD,0,Indianapolis,Eagle Creek,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.79,-86.29,22150
46216,STANDARD,0,Indianapolis,,Ft Benjamin Harrison,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.87,-86.01,2070
46217,STANDARD,0,Indianapolis,Southport,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.67,-86.19,33520
46218,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.81,-86.1,24670
46219,STANDARD,0,Indianapolis,Warren Park,Irvington,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.78,-86.04,30170
46220,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.87,-86.11,32470
46221,STANDARD,0,Indianapolis,,West Indianapolis,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.69,-86.24,24700
46222,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.79,-86.22,29270
46223,UNIQUE,1,Indianapolis,,I U P U I,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,42
46224,STANDARD,0,Indianapolis,Speedway,"Spdway, Spdwy",IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.8,-86.26,32340
46225,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.74,-86.16,5160
46226,STANDARD,0,Indianapolis,Lawrence,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.84,-86.05,38050
46227,STANDARD,0,Indianapolis,"Homecroft, Southport",,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.67,-86.13,50350
46228,STANDARD,0,Indianapolis,"Crows Nest, N Crows Nest, North Crows Nest, Spring Hills, Wynnedale",,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.85,-86.2,14400
46229,STANDARD,0,Indianapolis,Cumberland,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.79,-85.98,26380
46230,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,73
46231,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.72,-86.33,10050
46234,STANDARD,0,Indianapolis,Clermont,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.81,-86.33,26130
46235,STANDARD,0,Indianapolis,Oaklandon,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.84,-85.97,30100
46236,STANDARD,0,Indianapolis,Oaklandon,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.9,-85.97,25990
46237,STANDARD,0,Indianapolis,Southport,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.67,-86.07,40650
46239,STANDARD,0,Indianapolis,Wanamaker,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.72,-86,32730
46240,STANDARD,0,Indianapolis,"Nora, Williams Creek, Williams Crk",,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.91,-86.12,18170
46241,STANDARD,0,Indianapolis,,"Drexel Gardens, Drexel Gdns, Mars Hill, Maywood",IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.73,-86.29,27850
46242,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,426
46244,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,329
46247,PO BOX,0,Indianapolis,Southport,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,254
46249,UNIQUE,0,Indianapolis,,"Army Finance Center, Army Finance Ctr, Fort Benjamin Harrison",IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,222
46250,STANDARD,0,Indianapolis,Castleton,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.9,-86.06,17010
46251,PO BOX,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,68
46253,PO BOX,0,Indianapolis,Eagle Creek,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,636
46254,STANDARD,0,Indianapolis,Eagle Creek,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.85,-86.27,34900
46255,UNIQUE,0,Indianapolis,,"Merchants Bank, Pnc Bank",IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,63
46256,STANDARD,0,Indianapolis,Castleton,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.91,-86.01,21330
46259,STANDARD,0,Indianapolis,Acton,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.65,-85.98,13850
46260,STANDARD,0,Indianapolis,"Meridian Hills, Meridian Hls, Nora",,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.9,-86.18,29050
46262,UNIQUE,0,Indianapolis,,Huntington Bank,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.76,-86.15,0
46266,UNIQUE,1,Indianapolis,,Chase Bank,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,32
46268,STANDARD,0,Indianapolis,New Augusta,,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.9,-86.23,23380
46274,UNIQUE,1,Indianapolis,Time/life,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46275,UNIQUE,1,Indianapolis,,Time Life Inc,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46277,UNIQUE,0,Indianapolis,,Chase Bank,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,232
46278,STANDARD,0,Indianapolis,New Augusta,Traders Point,IN,Marion County,America/Indiana/Indianapolis,"317, 463",NA,US,39.89,-86.3,8650
46280,STANDARD,0,Indianapolis,"Carmel, Nora",,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.93,-86.13,7280
46282,STANDARD,0,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46283,UNIQUE,0,Indianapolis,,Brylane,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46285,UNIQUE,0,Indianapolis,,Eli Lilly Co,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,1026
46288,UNIQUE,0,Indianapolis,,Shared Zip Code,IN,,America/Indiana/Indianapolis,"317, 463",NA,US,39.77,-86.15,0
46290,STANDARD,0,Indianapolis,"Carmel, Nora",,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.94,-86.16,240
46291,UNIQUE,1,Indianapolis,,"B M G, Rca Mfg Co",IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46295,UNIQUE,1,Indianapolis,,Usps Scanner Repair,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46296,UNIQUE,1,Indianapolis,,Usps Symbol Repair,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.16,0
46298,UNIQUE,0,Indianapolis,,Greater Indiana District,IN,Marion County,America/Indiana/Indianapolis,317,NA,US,39.77,-86.14,0
46301,PO BOX,0,Beverly Shores,Beverly Shrs,,IN,Porter County,America/Chicago,219,NA,US,41.69,-86.98,571
46302,PO BOX,0,Boone Grove,,,IN,Porter County,America/Chicago,219,NA,US,41.35,-87.13,107
46303,STANDARD,0,Cedar Lake,,,IN,Lake County,America/Chicago,"219, 464, 708",NA,US,41.37,-87.43,16670
46304,STANDARD,0,Chesterton,"Burns Harbor, Dune Acres, Porter",,IN,Porter County,America/Chicago,219,NA,US,41.6,-87.05,25490
46307,STANDARD,0,Crown Point,Winfield,"Lakes Of Four Seasons, Palmer",IN,Lake County,America/Chicago,219,NA,US,41.42,-87.35,65260
46308,PO BOX,0,Crown Point,,,IN,Lake County,America/Chicago,219,NA,US,41.42,-87.35,487
46310,STANDARD,0,Demotte,,Kersey,IN,Jasper County,America/Chicago,219,NA,US,41.16,-87.26,13450
46311,STANDARD,0,Dyer,,,IN,Lake County,America/Chicago,"219, 464, 708",NA,US,41.5,-87.5,21850
46312,STANDARD,0,East Chicago,,,IN,Lake County,America/Chicago,219,NA,US,41.64,-87.45,19230
46319,STANDARD,0,Griffith,,New Elliott,IN,Lake County,America/Chicago,219,NA,US,41.52,-87.42,15530
46320,STANDARD,0,Hammond,,,IN,Lake County,America/Chicago,"219, 464, 708",NA,US,41.61,-87.5,9760
46321,STANDARD,0,Munster,Hammond,,IN,Lake County,America/Chicago,"219, 464, 708",NA,US,41.54,-87.5,22670
46322,STANDARD,0,Highland,Hammond,,IN,Lake County,America/Chicago,219,NA,US,41.54,-87.45,21680
46323,STANDARD,0,Hammond,,Hessville,IN,Lake County,America/Chicago,219,NA,US,41.59,-87.45,18610
46324,STANDARD,0,Hammond,,South Calumet Avenue,IN,Lake County,America/Chicago,"219, 464, 708",NA,US,41.58,-87.5,18580
46325,PO BOX,0,Hammond,,,IN,Lake County,America/Chicago,219,NA,US,41.62,-87.49,436
46327,STANDARD,0,Hammond,,,IN,Lake County,America/Chicago,"219, 464, 708, 773, 872",NA,US,41.63,-87.5,8770
46340,STANDARD,0,Hanna,,,IN,LaPorte County,America/Chicago,"219, 574",NA,US,41.4,-86.75,1130
46341,STANDARD,0,Hebron,,,IN,Porter County,America/Chicago,219,NA,US,41.32,-87.2,9860
46342,STANDARD,0,Hobart,New Chicago,,IN,Lake County,America/Chicago,219,NA,US,41.53,-87.26,29110
46345,PO BOX,0,Kingsbury,,,IN,LaPorte County,America/Chicago,219,NA,US,41.53,-86.7,272
46346,PO BOX,0,Kingsford Heights,Kingsford Hts,,IN,LaPorte County,America/Chicago,219,NA,US,41.48,-86.69,1253
46347,STANDARD,0,Kouts,,,IN,Porter County,America/Chicago,219,NA,US,41.31,-87.02,4620
46348,STANDARD,0,La Crosse,,,IN,LaPorte County,America/Chicago,"219, 574",NA,US,41.31,-86.88,1010
