zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
47938,UNIQUE,1,Crawfordsville,Crawfordsvlle,Rr Donnelley & Sons,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.04,-86.89,0
47939,UNIQUE,1,Crawfordsville,Crawfordsvlle,Rr Donnelley & Sons,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.04,-86.89,0
47940,STANDARD,0,Darlington,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.1,-86.77,1370
47941,PO BOX,0,Dayton,,,IN,Tippecanoe County,America/Indiana/Indianapolis,765,NA,US,40.38,-86.77,1431
47942,STANDARD,0,Earl Park,,,IN,Benton County,America/Indiana/Indianapolis,"219, 765, 779, 815",NA,US,40.68,-87.42,610
47943,STANDARD,0,Fair Oaks,,,IN,Jasper County,America/Chicago,219,NA,US,41.06,-87.27,970
47944,STANDARD,0,Fowler,,,IN,Benton County,America/Indiana/Indianapolis,"219, 765, 779, 815",NA,US,40.61,-87.31,3250
47946,STANDARD,0,Francesville,,,IN,Pulaski County,America/Indiana/Winamac,"219, 574",NA,US,40.98,-86.88,1700
47948,STANDARD,0,Goodland,,,IN,Newton County,America/Chicago,"219, 765",NA,US,40.76,-87.29,1120
47949,STANDARD,0,Hillsboro,,,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,40.1,-87.15,1180
47950,STANDARD,0,Idaville,,,IN,White County,America/Indiana/Indianapolis,574,NA,US,40.78,-86.66,770
47951,STANDARD,0,Kentland,,,IN,Newton County,America/Chicago,"219, 765, 779, 815",NA,US,40.77,-87.44,1910
47952,STANDARD,0,Kingman,"Cates, Tangier",,IN,Fountain County,America/Indiana/Indianapolis,765,NA,US,39.96,-87.27,2270
47954,STANDARD,0,Ladoga,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,39.91,-86.79,2180
47955,STANDARD,0,Linden,,,IN,Montgomery County,America/Indiana/Indianapolis,765,NA,US,40.19,-86.9,950
